respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.14485858451006586,0.4279906140392601
26708,0.01674301871182905,0.06984136240649451
26709,0.4732084157423423,0.6611484555209202
26710,0.45662022479180975,0.9731273199266524
26711,0.6804950122849706,0.8244120292620634
26712,0.9272921398107401,0.9608618375363276
26713,0.22984301019747438,0.8148802561787517
26714,0.014097819004753808,0.2513100000352692
26715,0.008428543111229215,0.20602180142389856
26716,0.10724356003944356,0.8496768369505378
26717,0.01747344094256607,0.09352733149205408
26718,0.5619134432112286,0.8875716181263295
26719,0.47663339125720083,0.9591606312313885
26720,0.07403580586216925,0.05897447732825084
26721,0.10846275955646138,0.06702077513990748
26722,0.003986624448674231,0.006331114188772002
26723,0.48235683520322037,0.9503021892209459
26724,0.0344397013114425,0.6004050982355275
26725,0.008386750505254404,0.01064000919080116
26726,0.017218261794029428,0.0845650775401818
26727,0.19924594270679563,0.8397377031961333
26728,0.4752087401041498,0.6940718659157556
26729,0.23510711556765573,0.5361061473162517
26730,0.022940032618740214,0.25468734968630136
26731,0.008572809597322099,0.19948087445488563
26732,0.04272664842041973,0.44936746362331337
26733,0.8717860221506507,0.9690454209712712
26734,0.7200465497397194,0.2992172539622715
26735,0.09298526152919104,0.423239573693113
26736,0.2081701632919038,0.3384006926562927
26737,0.05905814486766357,0.36319916629612525
26738,0.8437264505538998,0.8458285391246916
26739,0.1499660607678095,0.30163029243691025
26740,0.02812328114229101,0.059112968761838636
26741,0.18310481632718806,0.41340931095772243
26742,0.08533370032468277,0.2780228896075692
26743,0.2436964518930864,0.851522639339366
26744,0.6678292468796146,0.9480212357066783
26745,0.41827569141704335,0.9651034321700123
26746,0.049210525998370974,0.38845479673590905
26747,0.008099533069062432,0.02162817461424558
26748,0.01662196520117025,0.004976093191162052
26749,0.06735720539153683,0.12722721389031463
26750,0.7896186263843248,0.9873758179803279
26751,0.9073140800524228,0.876584548768957
26752,0.015752789920891182,0.10896435078183177
26753,0.40388773666962885,0.9284135572402342
26754,0.5505993659287994,0.5984556721049423
26755,0.09562296450378668,0.7783739646161727
26756,0.022636573887429866,0.06894353441676654
26757,0.6191306929850559,0.8463317476174104
26758,0.9517626533439718,0.9735455054248876
26759,0.018615638667540884,0.29127651170351354
26760,0.007633933383161754,0.06478811476996381
26761,0.14323876255465637,0.8020895447065478
26762,0.07690746666051752,0.8097826647940756
26763,0.9467340571935611,0.9981460101676862
26764,0.9963210504255096,0.9987263305573998
26765,0.5323484037167784,0.755298228389729
26766,0.24135540901252775,0.3951406416771738
26767,0.9847145633865271,0.9729370600472744
26768,0.14996185045176952,0.454045383721411
26769,0.010727992651273891,0.003983097758702458
26770,0.1870769520440855,0.1023768431708303
26771,0.025560000600548586,0.2383461701698513
26772,0.20655746666638758,0.6447012397629048
26773,0.5220267013204866,0.7988549319374525
26774,0.21837349813156595,0.6330318924959255
26775,0.09775349760944188,0.1755769358814158
26776,0.5206607991610585,0.5111531416537121
26777,0.20051511000590053,0.54251841227046
26778,0.08565089274742801,0.008874854765505624
26779,0.41432168020020804,0.6761158136392725
26780,0.7717185856069598,0.9863406447959524
26781,0.10391354268494811,0.7214946795347128
26782,0.021957275343065706,0.5083896484815184
26783,0.003412771887083047,0.020375816868724222
26784,0.8676559804796503,0.9731138618611845
